customer_name,customer_contact,customer_address,customer_city,customer_postal_code,customer_country,order_date,order_quantity,product_name,product_unit,product_price,category_name,category_description,shipper_name,shipper_phone,supplier_name,supplier_contact,supplier_address,supplier_city,supplier_postal_code,supplier_country,supplier_phone,employee_last_name,employee_first_name,employee_birthdate,employee_photo,employee_notes
"Wilman Kala","Matti Karttunen","Keskuskatu 45",Helsinki,21240,Finland,"1996-07-04 00:00:00",12,"Queso Cabrales","1 kg pkg.",21,"Dairy Products",Cheeses,"Federal Shipping","(503) 555-9931","Cooperativa de Quesos Las Cabras","Antonio del Valle Saavedra","Calle del Rosal 4",Oviedo,33007,Spain,"(98) 598 76 54",Buchanan,Steven,"1955-03-04 00:00:00",EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French."
"Wilman Kala","Matti Karttunen","Keskuskatu 45",Helsinki,21240,Finland,"1996-07-04 00:00:00",10,"Singaporean Hokkien Fried Mee","32 - 1 kg pkgs.",14,Grains/Cereals,"Breads, crackers, pasta, and cereal","Federal Shipping","(503) 555-9931","Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402",Singapore,0512,Singapore,555-8787,Buchanan,Steven,"1955-03-04 00:00:00",EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French."
"Wilman Kala","Matti Karttunen","Keskuskatu 45",Helsinki,21240,Finland,"1996-07-04 00:00:00",5,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,"Dairy Products",Cheeses,"Federal Shipping","(503) 555-9931","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",Ravenna,48100,Italy,"(0544) 60323",Buchanan,Steven,"1955-03-04 00:00:00",EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French."
"Tradicao Hipermercados","Anabela Domingues","Av. Ines de Castro, 414","Sao Paulo",05634-030,Brazil,"1996-07-05 00:00:00",9,Tofu,"40 - 100 g pkgs.",23.25,Produce,"Dried fruit and bean curd","Speedy Express","(503) 555-9831",Mayumis,"Mayumi Ohno","92 Setsuko Chuo-ku",Osaka,545,Japan,"(06) 431-7877",Suyama,Michael,"1963-07-02 00:00:00",EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish."
"Tradicao Hipermercados","Anabela Domingues","Av. Ines de Castro, 414","Sao Paulo",05634-030,Brazil,"1996-07-05 00:00:00",40,"Manjimup Dried Apples","50 - 300 g pkgs.",53,Produce,"Dried fruit and bean curd","Speedy Express","(503) 555-9831","Gday, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunters Hill",Sydney,2042,Australia,"(02) 555-5914",Suyama,Michael,"1963-07-02 00:00:00",EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish."
"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,"1996-07-08 00:00:00",10,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,Seafood,"Seaweed and fish","United Package","(503) 555-3199","New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",Boston,02134,USA,"(617) 555-3267",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,"1996-07-08 00:00:00",35,"Manjimup Dried Apples","50 - 300 g pkgs.",53,Produce,"Dried fruit and bean curd","United Package","(503) 555-3199","Gday, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunters Hill",Sydney,2042,Australia,"(02) 555-5914",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,"1996-07-08 00:00:00",15,"Louisiana Fiery Hot Pepper Sauce","32 - 8 oz bottles",21.05,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings","United Package","(503) 555-3199","New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822",Peacock,Margaret,"1958-09-19 00:00:00",EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
"Victuailles en stock","Mary Saveley","2, rue du Commerce",Lyon,69004,France,"1996-07-08 00:00:00",6,"Gustafs Knackebrod","24 - 500 g pkgs.",21,Grains/Cereals,"Breads, crackers, pasta, and cereal","Speedy Express","(503) 555-9831","PB Knackebrod AB","Lars Peterson","Kaloadagatan 13",Goteborg,"S-345 67",Sweden,"031-987 65 43",Leverling,Janet,"1963-08-30 00:00:00",EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
"Victuailles en stock","Mary Saveley","2, rue du Commerce",Lyon,69004,France,"1996-07-08 00:00:00",15,"Ravioli Angelo","24 - 250 g pkgs.",19.5,Grains/Cereals,"Breads, crackers, pasta, and cereal","Speedy Express","(503) 555-9831","Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665",Leverling,Janet,"1963-08-30 00:00:00",EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
